Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
CRM,Technology,"DJIA, S&P 500",539.03,0.38,0.10%,980.00M,-1.85%,198.54B,22.77,20.67%,-61.08%,943.32M,-10.23%,379.00M,21.46,1.90,79.50%,0.79% / 1.15,-3.98%,32.19B,6.17,-85.90%,-0.96%,7.49M,21.84%,58.58,3.50,0.40%,241.38,8.98%,14.42,14.20,25.12%,0.60%,126.34 - 238.22,54.48%,-,28.11,-20.60%,0.10%,-14.02%,1.21,-,1.00,24.40%,73.80%,62.13%,4.62,79390,1.00,11.30%,2.40%,35.56,2.06% 1.87%,Yes,0.17,620.10%,1.20%,0.65,203.84,Yes,0.16,Aug 30 AMC,0.00%,6.52M,204.83,2.10,-5.57%,-5.25%,12.30%,"4,251,655",0.49%
MARA,Financial,RUT,-,-4.06,0.20%,174.27M,-24.19%,1.97B,-,62.90%,0.00%,168.31M,-33.88%,-510.60M,-,-0.14,37.50%,22.13% / 0.98,20.26%,174.00M,11.30,88.80%,-4.62%,37.25M,56.45%,3.53,3.20,-38.20%,15.68,-26.99%,2.00,5.65,50.00%,-94.90%,3.11 - 19.88,229.82%,-,-,20.60%,-64.80%,-43.25%,5.12,-,14.90,195.80%,-30.60%,262.70%,1.21,30,14.90,228.50%,-,29.38,7.52% 7.34%,Yes,1.23,93.50%,-,0.87,12.25,Yes,1.23,Aug 08 AMC,-,37.98M,11.28,2.40,-27.79%,-21.95%,20.15%,"33,227,359",-7.92%
MRNA,Healthcare,"NDX, S&P 500",37.58,2.70,2.40%,381.00M,0.13%,40.43B,-,-38.80%,-15.11%,343.61M,-18.55%,1.21B,-,-1.58,65.90%,4.59% / 4.44,-18.92%,10.65B,3.80,-29.00%,0.86%,15.77M,-41.02%,44.49,2.28,4.90%,181.47,-35.68%,21.26,4.78,-,6.60%,95.02 - 217.25,-43.43%,-,-,92.10%,40.60%,-53.22%,1.64,-,3.20,147.90%,57.40%,6.95%,4.55,3900,3.40,-92.80%,4.80%,38.40,4.91% 4.04%,Yes,0.06,-169.10%,11.30%,1.16,106.24,Yes,0.05,Aug 03 BMO,0.00%,3.55M,101.62,2.50,-7.42%,-13.79%,-32.21%,"4,125,294",-4.35%
DIS,Communication Services,"DJIA, S&P 500",69.83,1.23,0.06%,1.83B,-3.44%,157.21B,17.46,32.47%,-0.41%,1.83B,-0.29%,2.25B,3.47,0.76,65.00%,1.22% / 1.44,-8.32%,87.81B,1.79,57.80%,2.25%,22.34M,-18.78%,53.37,1.61,1.10%,109.38,-30.01%,6.26,13.72,20.13%,2.30%,84.07 - 123.13,-1.06%,-,55.26,-21.00%,3.30%,-30.19%,1.27,-,1.00,8.50%,32.80%,2.25%,1.84,220000,1.10,3.80%,5.10%,44.12,1.42% 1.99%,Yes,0.48,-132.60%,2.60%,0.79,85.92,Yes,0.46,Aug 09 AMC,0.00%,15.56M,85.96,2.20,-1.43%,-3.06%,-9.79%,"12,338,539",0.05%
NEM,Basic Materials,S&P 500,-,-0.97,0.10%,795.00M,-4.95%,30.72B,14.06,31.83%,-8.53%,793.51M,-10.01%,-778.00M,-,0.56,82.30%,3.34% / 3.45,-11.72%,11.20B,2.74,-141.80%,-3.05%,26.47M,-16.68%,24.18,1.58,-2.00%,55.22,-14.92%,4.03,9.49,13.20%,-3.80%,37.45 - 55.41,-19.07%,1.60,99.11,-20.00%,-1.00%,-31.06%,0.41,4.19%,1.50,10.10%,43.30%,2.00%,0.87,14600,2.30,-12.30%,-2.40%,31.43,1.66% 1.84%,Yes,0.32,-59.60%,-6.80%,0.78,38.66,Yes,0.31,Jul 20 BMO,-,7.67M,38.20,2.60,-6.80%,-9.33%,-16.69%,"5,984,262",-1.19%
OXY,Energy,S&P 500,10.82,5.92,0.28%,889.30M,-2.69%,55.88B,13.61,32.50%,-,868.64M,5.97%,5.86B,-,0.76,79.40%,5.25% / 4.48,9.99%,31.66B,1.76,501.30%,-2.93%,45.63M,2.51%,23.04,2.78,8.20%,69.21,1.75%,0.56,114.97,-,29.20%,55.51 - 77.13,1.71%,0.72,6.65,49.10%,32.20%,-16.93%,1.77,1.12%,0.70,23.80%,63.70%,15.42%,1.54,11973,1.00,-37.20%,29.10%,57.47,2.42% 2.33%,Yes,0.97,-81.90%,18.50%,0.74,63.16,Yes,0.96,Aug 02 AMC,9.60%,10.19M,64.07,2.50,1.57%,5.87%,2.27%,"7,494,163",1.44%
QCOM,Technology,"NDX, S&P 500",14.39,7.65,0.10%,1.11B,-3.94%,122.85B,12.06,9.90%,-0.95%,1.11B,-8.80%,8.63B,-,1.90,74.10%,1.20% / 1.49,2.94%,38.58B,3.18,45.10%,-0.30%,13.36M,-15.41%,18.54,5.94,17.50%,142.66,-25.87%,7.74,14.23,-11.57%,44.60%,101.47 - 152.91,0.15%,3.20,17.90,47.40%,41.20%,-28.00%,1.27,2.91%,1.60,14.70%,56.30%,8.50%,3.16,51000,2.40,-22.70%,25.70%,32.96,1.66% 2.29%,Yes,0.75,-53.10%,22.30%,0.71,110.08,Yes,0.70,Aug 02 AMC,39.60%,8.96M,110.10,2.10,-8.88%,-8.22%,-7.73%,"6,378,921",0.02%
MSTR,Technology,RUT,37.76,8.70,0.53%,13.25M,-14.49%,4.89B,-,-106.30%,-29.21%,12.06M,-25.45%,206.70M,3.78,0.74,71.10%,21.20% / 3.06,14.27%,500.20M,9.77,-142.90%,-3.77%,2.56M,15.70%,61.83,5.31,7.30%,448.60,1.05%,4.44,74.04,10.00%,121.80%,132.56 - 475.09,132.13%,-,-,89.09%,-71.30%,-30.83%,2.48,-,0.80,-0.20%,78.60%,147.90%,20.31,2099,0.80,-1.40%,-38.00%,30.82,4.60% 4.63%,Yes,2.66,101.50%,41.30%,1.32,346.79,Yes,2.66,Aug 01 AMC,0.00%,835.51K,328.62,2.20,-18.23%,-12.20%,18.28%,"1,099,568",-5.24%
CSCO,Technology,"DJIA, NDX, S&P 500",17.92,3.07,0.10%,4.09B,2.32%,223.03B,13.03,4.40%,-4.52%,4.07B,5.10%,12.61B,2.48,1.03,74.90%,1.52% / 3.18,14.19%,57.00B,3.91,12.70%,-0.08%,61.95M,7.94%,10.34,5.32,11.90%,57.02,17.96%,5.75,9.58,7.23%,27.60%,38.60 - 55.83,15.53%,1.56,14.44,8.20%,22.90%,-1.42%,0.94,2.83%,1.30,1.40%,62.70%,42.57%,0.92,83300,1.40,13.50%,24.30%,67.16,1.45% 1.37%,Yes,0.20,7.10%,19.80%,1.48,54.73,Yes,0.16,Aug 16 AMC,55.10%,19.47M,55.04,2.40,3.67%,6.07%,11.90%,"28,781,088",0.57%
BAC,Financial,S&P 500,8.38,3.48,0.11%,8.04B,-6.97%,232.67B,8.84,-2.63%,-2.82%,7.94B,-8.14%,28.24B,0.34,0.81,71.00%,0.91% / 1.59,2.25%,105.70B,2.20,-10.80%,0.33%,71.88M,-17.49%,31.70,0.92,0.90%,35.68,-20.05%,127.07,0.23,24.37%,11.40%,26.32 - 38.60,-12.11%,0.96,5.21,12.90%,6.30%,-24.59%,1.38,3.30%,-,4.70%,-,10.60%,0.66,216000,-,116.10%,50.10%,36.01,1.69% 1.87%,Yes,2.41,20.90%,26.70%,0.69,29.28,Yes,1.09,Jul 18 BMO,25.20%,45.15M,29.11,2.50,-7.03%,-2.94%,-8.11%,"31,371,641",-0.58%
RIG,Energy,-,-,-1.38,0.10%,761.00M,-4.42%,6.17B,18.94,161.40%,-37.52%,711.32M,0.37%,-1008.00M,-,-0.21,56.60%,20.11% / 9.12,41.72%,2.67B,2.31,4.40%,3.17%,143.01M,9.75%,13.67,0.60,-4.90%,8.69,134.19%,1.09,7.52,-,-9.40%,2.33 - 8.86,80.26%,-,-,35.30%,-0.40%,-7.22%,2.97,-,1.60,-2.80%,35.40%,252.79%,0.38,5340,2.00,5.30%,-8.70%,52.44,3.78% 4.34%,Yes,0.72,-120.60%,-37.70%,0.70,8.05,Yes,0.69,Jul 31 AMC,-,15.67M,8.22,2.60,-1.86%,9.45%,33.66%,"10,903,686",2.11%
TSM,Technology,-,15.63,5.83,-,5.19B,-0.97%,442.03B,15.01,22.60%,-,4.86B,-6.91%,30.23B,2.60,1.15,17.50%,0.30% / 1.27,-1.67%,69.76B,6.34,70.40%,0.95%,14.73M,0.31%,19.25,4.73,19.50%,112.01,2.13%,9.77,9.32,6.00%,32.30%,59.43 - 110.69,22.30%,1.83,-,24.30%,25.90%,-17.70%,1.07,2.00%,2.10,18.30%,58.60%,53.29%,2.17,52045,2.40,-10.00%,48.00%,33.38,1.75% 1.77%,Yes,0.30,-23.30%,43.30%,0.76,91.64,Yes,0.29,Jul 20 BMO,471.70%,11.61M,91.10,1.70,-5.08%,-8.85%,2.19%,"8,871,525",-0.59%
CVX,Energy,"DJIA, S&P 500",10.21,15.76,0.04%,1.91B,-1.98%,304.74B,11.46,5.68%,-4.05%,1.91B,2.88%,30.17B,-,3.15,72.00%,1.03% / 2.44,4.47%,214.09B,1.42,124.60%,-0.67%,19.65M,-3.40%,84.79,1.90,11.80%,186.72,2.03%,5.07,31.71,-7.68%,19.00%,140.46 - 189.68,-10.36%,6.04,11.02,37.10%,15.20%,-15.17%,1.16,3.75%,1.10,11.80%,38.70%,14.55%,3.24,43846,1.40,-27.80%,16.80%,53.32,1.97% 1.88%,Yes,0.14,-46.00%,14.10%,0.74,159.75,Yes,0.13,Jul 28 BMO,37.00%,8.05M,160.90,2.20,0.14%,1.94%,-3.25%,"5,997,542",0.72%
ZIM,Industrials,-,1.15,10.81,21.93%,120.19M,-13.04%,1.49B,-,3.90%,0.00%,93.79M,-14.01%,1.30B,-,-0.97,38.80%,21.00% / 5.89,-30.65%,8.10B,0.18,-1.70%,-12.69%,19.69M,-41.65%,40.38,0.31,11.40%,12.93,-74.08%,15.85,0.78,-,24.10%,11.78 - 51.93,-27.87%,16.95,0.52,271.20%,46.30%,-76.12%,1.94,136.69%,1.10,33.40%,27.80%,5.26%,0.70,4830,1.10,-61.80%,23.70%,34.92,4.75% 4.69%,Yes,1.01,-116.20%,16.10%,0.69,12.39,Yes,0.68,Aug 16 BMO,129.90%,3.34M,12.40,3.60,-12.74%,-7.83%,-32.38%,"2,324,153",0.08%
F,Consumer Cyclical,S&P 500,11.65,1.03,0.19%,4.00B,-1.48%,47.35B,6.37,-10.32%,-2.02%,3.92B,-14.75%,4.14B,-,0.45,52.90%,3.79% / 2.51,2.75%,169.82B,0.28,-111.10%,0.47%,148.52M,-7.36%,10.91,1.10,1.60%,14.44,-21.61%,10.82,1.11,-1.80%,9.70%,10.37 - 15.43,8.04%,0.60,8.93,-17.90%,3.90%,-22.48%,1.62,5.02%,1.00,0.20%,10.20%,15.28%,0.31,173000,1.20,11.90%,3.80%,27.00,1.87% 2.26%,Yes,3.28,188.20%,2.40%,0.75,11.83,Yes,2.15,Jul 27 AMC,57.90%,59.26M,11.96,2.70,-7.45%,-13.69%,-5.60%,"44,456,509",1.10%
IBM,Technology,"DJIA, S&P 500",68.95,2.05,0.09%,911.01M,-1.19%,128.14B,14.03,5.35%,0.00%,910.15M,2.19%,2.01B,15.14,2.15,58.50%,2.89% / 5.85,12.10%,60.52B,2.12,-60.30%,1.44%,26.33M,4.75%,24.40,5.80,1.60%,143.75,2.63%,17.99,7.86,4.55%,9.40%,115.54 - 153.21,0.37%,6.64,12.44,-29.90%,2.50%,-7.70%,0.84,4.70%,1.00,-5.20%,54.60%,22.39%,1.91,311300,1.10,-0.40%,3.10%,53.26,1.18% 1.20%,Yes,2.59,-0.30%,3.30%,0.87,140.66,Yes,2.28,Jul 19 AMC,298.00%,4.51M,141.41,2.60,-0.86%,2.76%,4.46%,"3,912,527",0.53%
WBD,Communication Services,"NDX, S&P 500",-,-2.76,0.60%,2.44B,-6.72%,31.10B,41.49,132.30%,0.36%,1.88B,-2.52%,-6718.00M,-,-0.02,56.30%,4.87% / 4.26,3.06%,41.89B,0.74,-348.50%,-0.00%,91.25M,-16.53%,18.65,0.69,-5.10%,19.80,-3.62%,1.24,10.27,7.50%,-14.30%,8.82 - 16.34,34.81%,-,10.09,-40.40%,-5.90%,-21.78%,1.50,-,0.80,37.50%,40.60%,44.90%,0.53,37500,0.80,5.40%,-13.30%,44.34,3.05% 4.19%,Yes,1.04,66.00%,-16.00%,0.51,12.76,Yes,0.97,Aug 03 BMO,-,21.41M,12.78,2.30,-3.54%,-1.79%,-0.93%,"10,888,700",0.16%
ADBE,Technology,"NDX, S&P 500",48.52,10.47,0.29%,458.00M,-0.06%,233.22B,28.57,13.05%,-3.71%,454.48M,-1.69%,4.85B,3.45,3.98,84.10%,0.94% / 1.13,40.98%,18.43B,12.66,0.70%,-0.71%,4.26M,39.15%,32.40,15.68,17.90%,555.82,16.06%,14.38,35.33,14.07%,33.80%,274.73 - 552.94,50.99%,-,31.42,24.50%,26.70%,-8.10%,1.34,-,1.20,19.20%,87.80%,84.96%,12.34,29239,1.20,9.80%,33.60%,46.91,2.10% 2.13%,Yes,0.24,13.30%,26.30%,0.57,511.67,Yes,0.24,Jun 15 AMC,0.00%,3.78M,508.13,2.10,-2.83%,1.15%,29.97%,"2,138,871",-0.69%
UAL,Industrials,S&P 500,6.16,7.98,0.30%,328.00M,-6.05%,16.24B,4.11,4.78%,0.86%,326.61M,-13.20%,2.67B,0.08,4.06,60.70%,5.39% / 2.78,2.02%,50.88B,0.32,136.60%,-5.69%,17.59M,0.22%,23.49,2.09,3.80%,71.59,26.03%,57.84,0.85,72.92%,40.80%,31.58 - 58.23,30.24%,-,9.50,-19.10%,5.40%,-15.68%,1.41,-,0.90,3.50%,58.60%,55.48%,1.39,99800,0.90,17.10%,8.50%,32.99,2.01% 2.33%,Yes,3.98,225.60%,5.20%,0.77,49.53,Yes,3.49,Jul 19 AMC,0.00%,6.33M,49.10,2.10,-7.83%,-8.46%,3.52%,"4,895,962",-0.87%
DAL,Industrials,S&P 500,8.91,4.66,0.20%,643.42M,-6.07%,26.88B,5.47,13.22%,-3.56%,641.12M,-14.79%,2.99B,0.25,2.38,67.50%,2.39% / 1.44,15.60%,55.75B,0.48,370.70%,-1.79%,15.35M,8.39%,12.68,3.27,4.10%,60.94,20.12%,9.32,4.45,36.30%,46.80%,27.20 - 49.81,26.26%,0.40,33.35,-16.20%,10.00%,-16.70%,1.31,0.96%,0.40,4.20%,48.00%,52.54%,1.05,95000,0.50,12.70%,9.10%,29.50,2.12% 2.03%,Yes,2.49,148.20%,5.40%,0.59,41.78,Yes,2.24,Jul 13 BMO,0.00%,10.66M,41.49,1.60,-8.05%,-7.92%,9.59%,"6,278,678",-0.69%
PG,Consumer Defensive,"DJIA, S&P 500",25.86,5.90,0.11%,2.36B,-2.85%,358.57B,22.11,7.90%,-9.10%,2.35B,1.32%,14.37B,3.83,1.72,65.50%,0.64% / 2.34,0.01%,82.01B,4.37,1.60%,-1.25%,14.96M,11.23%,19.46,7.84,12.10%,166.11,2.21%,3.51,43.48,6.76%,32.50%,122.18 - 158.38,0.65%,3.76,26.01,8.70%,18.00%,-3.69%,0.41,2.47%,0.40,4.20%,47.90%,24.85%,2.02,107000,0.60,5.30%,22.10%,44.82,1.29% 1.28%,Yes,0.75,12.90%,17.50%,0.85,152.11,Yes,0.53,Jul 28 BMO,60.70%,6.39M,152.54,2.30,-1.71%,0.73%,3.31%,"5,444,345",0.28%
GILD,Healthcare,"NDX, S&P 500",17.46,4.35,0.10%,1.25B,-5.15%,95.32B,10.47,9.35%,-2.00%,1.24B,-5.08%,5.48B,4.99,1.91,83.00%,1.51% / 3.25,-2.98%,27.38B,3.48,-26.20%,0.84%,18.84M,-9.01%,16.94,4.48,8.80%,91.38,14.93%,5.31,14.30,3.50%,26.00%,61.44 - 89.74,-11.61%,3.00,10.68,-13.90%,13.10%,-15.44%,0.38,3.95%,0.90,0.90%,79.40%,23.49%,1.56,17000,1.00,5.40%,30.90%,39.16,1.91% 2.01%,Yes,1.19,-8.50%,20.00%,1.12,76.50,Yes,1.00,Aug 03 AMC,67.60%,5.80M,75.88,2.50,-2.89%,-2.25%,-6.84%,"6,483,487",-0.81%
FTCH,Consumer Cyclical,-,-,-1.42,2.09%,401.89M,-48.82%,1.68B,-,5.20%,0.00%,299.03M,-52.89%,-547.00M,-,-0.37,92.80%,10.97% / 2.60,-39.86%,2.36B,0.71,-75.10%,-0.62%,32.79M,-50.94%,1.15,2.27,-,7.06,-70.44%,-,-,-,-,3.64 - 12.89,-44.82%,-,-,32.00%,-45.50%,-79.75%,2.96,-,-,43.10%,43.80%,-28.30%,0.48,6728,-,-1.20%,-,18.05,11.18% 6.86%,Yes,0.00,-,-,13.19,4.76,Yes,0.00,Aug 17 AMC,0.00%,12.63M,2.61,2.50,-50.23%,-53.42%,-52.41%,"166,678,964",-45.17%
MO,Consumer Defensive,S&P 500,11.27,3.81,0.09%,1.78B,-1.88%,75.55B,8.25,4.27%,0.00%,1.77B,-6.02%,6.80B,3.15,1.30,59.60%,0.79% / 1.90,-4.79%,24.89B,3.04,138.70%,-1.46%,14.01M,-9.47%,-2.15,-,18.80%,49.44,-5.59%,0.50,86.44,3.58%,-171.10%,40.35 - 48.99,-6.13%,3.76,8.81,-2.20%,45.30%,-12.41%,0.63,8.76%,0.30,-0.40%,57.40%,6.34%,0.54,6300,0.40,-0.50%,46.60%,28.97,1.17% 1.17%,Yes,-,141.30%,27.30%,0.94,42.57,Yes,-,Aug 01 BMO,98.80%,7.37M,42.91,2.70,-3.44%,-4.18%,-5.76%,"6,895,690",0.80%
MCD,Consumer Cyclical,"DJIA, S&P 500",25.94,10.86,0.21%,729.60M,-2.38%,205.41B,22.63,7.51%,-2.39%,727.26M,-5.18%,8.00B,2.82,2.99,70.20%,0.77% / 2.33,-4.19%,24.19B,8.49,-17.00%,0.21%,5.57M,5.99%,-6.85,-,15.90%,328.59,5.59%,2.23,126.36,9.20%,-137.00%,230.58 - 299.35,6.91%,6.08,30.94,2.90%,24.00%,-5.88%,0.64,2.16%,1.30,0.30%,57.50%,22.19%,3.44,150000,1.30,13.60%,45.40%,32.11,1.15% 1.25%,Yes,-,96.50%,33.10%,1.10,281.86,Yes,-,Jul 27 BMO,54.30%,2.39M,281.74,2.00,-2.95%,-3.39%,0.72%,"2,624,080",-0.04%
RIOT,Financial,RUT,-,-1.73,6.90%,185.31M,-27.31%,2.17B,-,17.30%,-9.20%,174.60M,-40.06%,-275.70M,-,-0.24,36.10%,16.39% / 1.26,0.00%,256.40M,8.46,73.20%,9.19%,28.63M,74.06%,7.42,1.49,-20.50%,19.46,32.57%,2.19,5.05,20.00%,-23.10%,3.25 - 20.65,226.55%,-,-,-57.00%,-43.50%,-46.39%,4.34,-,6.50,295.00%,11.50%,240.62%,1.22,489,6.50,5.20%,-,26.55,6.82% 7.36%,Yes,0.00,93.90%,-,0.89,11.71,Yes,0.00,Aug 09 AMC,-,22.70M,11.07,1.70,-33.11%,-25.01%,19.98%,"20,102,506",-5.47%
WMT,Consumer Defensive,"DJIA, S&P 500",30.41,5.19,0.90%,2.69B,-2.03%,419.25B,22.40,9.84%,-79.13%,1.42B,0.29%,14.04B,4.13,1.50,32.90%,0.83% / 2.00,4.26%,630.79B,0.66,-12.40%,-0.56%,11.77M,9.47%,26.88,5.88,4.80%,177.39,13.20%,3.98,39.65,7.37%,15.60%,128.07 - 162.78,11.38%,2.28,34.98,5.90%,12.10%,-2.98%,0.50,1.44%,0.20,4.10%,24.20%,23.32%,2.44,2100000,0.80,7.60%,3.30%,48.68,2.37% 1.40%,Yes,0.68,-16.70%,1.90%,1.59,155.69,Yes,0.60,Aug 17 BMO,52.20%,5.87M,157.93,1.90,-0.96%,0.70%,6.32%,"9,312,581",1.44%
JPM,Financial,"DJIA, S&P 500",9.58,15.55,0.10%,2.94B,-3.55%,431.93B,10.12,-7.93%,-6.01%,2.88B,-4.60%,46.06B,-,3.79,70.80%,0.67% / 1.96,6.79%,137.31B,3.15,-21.30%,0.11%,19.40M,5.04%,96.85,1.54,1.20%,169.34,21.52%,528.20,0.28,-3.98%,17.00%,101.28 - 159.38,11.09%,4.00,-,12.10%,6.50%,-6.53%,1.09,2.69%,-,7.70%,-,47.09%,2.50,300066,-,123.30%,51.90%,39.90,1.50% 1.43%,Yes,1.15,72.00%,33.50%,0.86,148.63,Yes,1.15,Jul 14 BMO,25.70%,9.92M,148.97,2.10,-3.96%,0.11%,7.34%,"8,505,484",0.23%
MMM,Industrials,"DJIA, S&P 500",-,-2.84,0.12%,553.90M,-4.34%,56.19B,10.28,9.56%,-2.22%,551.27M,-4.10%,-1465.00M,-,2.37,68.10%,1.90% / 2.72,0.37%,33.05B,1.70,0.60%,-0.99%,10.50M,-10.71%,14.08,7.10,-3.10%,112.96,-32.16%,7.68,13.03,1.91%,-11.30%,92.38 - 147.44,-16.60%,6.00,12.64,2.10%,19.30%,-32.17%,0.97,6.00%,1.00,1.60%,44.10%,8.26%,2.11,92000,1.40,-4.30%,-8.90%,37.29,1.42% 1.78%,Yes,2.05,-,-4.40%,0.68,101.80,Yes,1.66,Jul 25 BMO,58.32%,3.86M,100.01,3.30,-5.94%,-3.01%,-9.55%,"2,631,852",-1.76%
VEON,Communication Services,-,2.99,5.43,39.60%,69.97M,-6.67%,1.15B,-,-,0.00%,2.93M,-14.53%,381.00M,-,-,18.40%,1.30% / 0.81,-15.69%,3.67B,0.31,-,-32.33%,0.04M,-9.83%,10.02,1.62,-,-,39.58%,44.80,0.36,-,-,7.45 - 21.60,32.49%,-,-,17.10%,12.50%,-24.86%,1.52,-,1.00,-16.90%,87.00%,117.85%,0.49,16442,1.00,-8.70%,-,24.51,2.32% 3.02%,Yes,9.00,-102.10%,-,0.60,16.41,Yes,5.94,-,0.00%,47.12K,16.23,3.00,-6.64%,-13.54%,-1.67%,"28,191",-1.10%
TXN,Technology,"NDX, S&P 500",19.98,8.33,0.21%,908.00M,0.17%,150.51B,21.11,7.38%,-1.34%,906.01M,-7.46%,7.65B,2.00,1.81,86.70%,2.04% / 3.43,-1.96%,18.82B,8.00,13.80%,-1.36%,18.46M,-5.45%,17.56,9.48,27.00%,183.94,-5.78%,10.57,15.76,10.00%,50.80%,145.97 - 188.12,0.77%,4.96,47.30,20.80%,38.00%,-11.50%,1.02,2.98%,4.30,6.00%,66.30%,14.06%,3.61,33000,5.70,-13.10%,46.50%,39.39,1.85% 1.82%,Yes,0.70,-23.70%,40.60%,0.83,165.76,Yes,0.69,Jul 25 AMC,57.90%,5.37M,166.49,2.70,-3.88%,-5.02%,-4.13%,"4,455,607",0.44%
BYND,Consumer Defensive,RUT,-,-4.40,1.30%,64.25M,-6.85%,777.79M,-,17.10%,0.00%,58.50M,-21.73%,-281.10M,-,-0.83,43.20%,37.38% / 6.73,5.95%,356.80M,2.18,-99.60%,-38.68%,21.86M,-29.24%,-4.66,-,-27.00%,10.41,-65.14%,3.28,3.69,10.00%,125.20%,9.81 - 34.74,-1.71%,-,-,-,-36.80%,-65.17%,2.19,-,5.30,66.70%,-2.60%,23.28%,0.98,787,9.10,-30.50%,-74.80%,33.90,4.50% 6.15%,Yes,-,45.50%,-78.80%,0.37,12.08,Yes,-,Aug 07 AMC,-,3.25M,12.10,3.40,-17.18%,-14.83%,-16.51%,"1,199,817",0.17%
ZM,Technology,NDX,-,-0.35,9.17%,295.41M,-0.47%,19.45B,15.13,1.86%,-0.69%,227.71M,-5.03%,5.50M,-,1.05,64.30%,7.52% / 4.46,-4.66%,4.42B,4.40,-92.40%,-0.56%,17.13M,-14.91%,22.08,3.00,0.10%,83.49,-35.25%,19.08,3.48,-0.46%,0.10%,60.45 - 104.57,-2.14%,-,18.11,66.00%,1.60%,-36.61%,-0.17,-,3.60,96.10%,75.20%,9.66%,2.01,8484,3.60,2.90%,1.50%,42.23,2.59% 2.55%,Yes,0.00,-86.30%,0.10%,0.84,65.36,Yes,0.00,Aug 21 AMC,0.00%,3.84M,66.29,2.80,-4.12%,-3.76%,-6.13%,"3,212,185",1.42%
MRK,Healthcare,"DJIA, S&P 500",89.58,1.22,0.10%,2.54B,1.64%,276.39B,12.90,179.72%,-17.14%,2.54B,0.68%,3.11B,8.31,1.94,76.60%,0.56% / 1.84,-4.21%,58.31B,4.74,17.40%,0.64%,14.14M,2.53%,15.24,7.17,2.90%,123.87,19.95%,2.52,43.33,10.78%,7.10%,84.52 - 119.65,-1.58%,2.92,25.53,25.60%,20.90%,-8.73%,0.33,2.67%,1.00,8.10%,73.20%,29.20%,1.80,69000,1.30,3.00%,11.30%,56.29,1.40% 1.73%,Yes,0.95,-251.60%,5.30%,0.88,108.92,Yes,0.88,Aug 01 BMO,234.30%,7.67M,109.20,2.00,2.03%,0.19%,-0.13%,"6,709,584",0.26%
SQ,Technology,-,-,-0.45,0.30%,606.69M,-6.09%,34.23B,23.56,39.30%,-18.39%,541.52M,-25.32%,-267.90M,-,0.45,67.50%,3.47% / 1.97,-4.44%,19.69B,1.74,-381.80%,-0.12%,18.80M,-27.66%,29.25,1.94,-0.90%,85.72,-29.19%,9.75,5.83,49.69%,-1.60%,51.34 - 89.97,-9.48%,-,106.42,-41.20%,-2.80%,-36.78%,2.36,-,1.90,51.30%,34.60%,10.79%,2.66,12428,1.90,25.70%,-1.60%,28.54,3.02% 3.55%,Yes,0.23,43.60%,-1.40%,1.03,56.10,Yes,0.23,Aug 03 AMC,-,9.53M,56.88,2.20,-17.36%,-16.87%,-16.17%,"9,799,255",1.39%
PBF,Energy,RUT,2.03,23.84,1.10%,125.29M,-2.89%,5.84B,7.56,-34.13%,0.00%,109.24M,13.27%,3.10B,-,3.25,81.60%,9.37% / 4.48,28.01%,42.06B,0.14,-58.40%,3.63%,10.24M,7.70%,48.25,1.00,22.90%,49.91,38.84%,12.57,3.85,0.00%,60.90%,27.00 - 50.43,18.69%,0.80,3.47,42.80%,50.30%,-4.03%,1.91,1.65%,0.80,16.50%,16.40%,79.26%,1.82,3616,1.50,-34.90%,10.00%,60.86,3.17% 3.80%,Yes,0.25,-18.30%,7.40%,0.84,47.25,Yes,0.25,Aug 03 BMO,0.80%,2.28M,48.40,2.60,3.28%,12.15%,17.73%,"1,925,932",2.43%
AMAT,Technology,"NDX, S&P 500",18.82,7.58,0.35%,843.00M,2.76%,115.54B,18.51,-0.75%,-1.87%,836.64M,6.43%,6.49B,1.37,1.90,79.90%,2.47% / 3.45,9.81%,26.64B,4.34,16.10%,0.78%,20.65M,23.63%,16.76,8.51,23.50%,150.66,34.58%,6.29,22.66,13.70%,49.80%,71.12 - 153.28,46.50%,1.28,28.31,18.00%,38.00%,-6.93%,1.61,0.90%,1.50,11.90%,46.30%,100.59%,4.41,33000,2.30,6.20%,29.20%,50.15,3.04% 2.59%,Yes,0.41,6.90%,24.20%,1.93,137.59,Yes,0.39,Aug 17 AMC,10.10%,5.98M,142.66,2.20,-0.99%,0.52%,18.90%,"11,535,452",3.68%
