Ticker,Industry,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float / Ratio,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Interest,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
WDC,Technology,S&P 500,-,-5.41,0.70%,319.94M,-5.11%,12.80B,10.99,190.00%,0.00%,319.23M,3.81%,-1730.00M,-,-1.90,89.60%,1.90% / 1.72,2.58%,12.32B,1.04,78.70%,2.91%,6.06M,-6.65%,36.40,1.09,-0.40%,46.26,-17.55%,6.89,5.76,-,-0.80%,29.73 - 49.23,25.96%,-,-,28.80%,9.20%,-19.28%,1.67,-,0.90,-0.30%,15.30%,33.67%,1.14,65000,1.60,-36.00%,5.90%,42.08,2.23% 2.51%,Yes,0.61,-,-0.80%,0.68,40.29,Yes,0.51,Jul 31 AMC,-,3.53M,39.74,2.40,-4.31%,-0.45%,5.69%,"2,405,782",-1.37%
VZ,Communication Services,"DJIA, S&P 500",6.64,5.00,0.03%,4.21B,-0.54%,138.07B,7.07,-0.47%,-3.36%,4.20B,-1.37%,21.03B,-,1.19,63.80%,1.08% / 1.77,-8.16%,135.00B,1.02,-4.90%,-1.65%,45.36M,-16.72%,22.62,1.47,5.60%,40.13,-26.82%,1.15,28.75,-0.54%,22.90%,31.25 - 44.53,-15.79%,2.61,11.16,9.20%,10.10%,-25.49%,0.34,7.87%,0.70,1.70%,58.10%,6.18%,0.64,117100,0.70,-3.50%,23.70%,44.11,1.48% 1.86%,Yes,1.60,-10.80%,15.60%,0.84,33.06,Yes,1.45,Jul 25 BMO,51.90%,25.68M,33.18,2.90,-0.64%,-4.28%,-11.45%,"21,628,473",0.36%
APTV,Consumer Cyclical,S&P 500,29.13,3.29,0.20%,282.82M,-2.86%,28.35B,15.26,33.36%,-9.35%,281.50M,-11.73%,894.00M,0.88,1.20,98.70%,1.02% / 1.41,1.11%,19.27B,1.47,0.80%,1.53%,2.86M,-20.58%,33.86,2.83,4.20%,129.73,-9.63%,4.40,21.77,33.10%,10.20%,77.96 - 124.88,2.95%,-,27.93,-13.30%,7.10%,-23.22%,2.05,-,1.20,6.30%,16.80%,22.99%,2.7,160000,1.80,28.20%,8.20%,29.02,2.00% 2.37%,Yes,0.71,472.90%,4.60%,0.72,96.06,Yes,0.70,Aug 03 BMO,-,2.03M,95.88,2.00,-8.99%,-8.04%,-7.62%,"1,470,477",-0.19%
NCLH,Consumer Cyclical,S&P 500,-,-2.04,0.70%,424.18M,-5.66%,7.21B,10.54,90.60%,-10.60%,422.36M,-19.34%,-851.10M,-,0.71,58.80%,7.75% / 2.24,14.80%,7.16B,1.01,56.10%,-1.24%,32.73M,-6.29%,0.04,417.00,-4.60%,20.53,20.87%,2.08,8.02,-,-886.40%,10.83 - 22.75,36.27%,-,-,-29.60%,-12.70%,-26.68%,2.62,-,0.30,-2.10%,28.50%,54.02%,0.68,38900,0.30,85.80%,-2.70%,30.63,2.59% 3.18%,Yes,863.18,115.40%,-11.90%,0.55,16.78,Yes,789.12,Aug 01 BMO,-,14.60M,16.68,2.60,-12.65%,-15.56%,3.89%,"8,027,108",-0.60%
FDX,Industrials,S&P 500,16.92,15.53,0.20%,251.00M,-1.17%,66.16B,12.16,23.45%,-27.43%,231.23M,-0.34%,3.97B,3.54,3.70,74.80%,1.51% / 1.69,13.98%,90.16B,0.73,7.90%,1.74%,3.49M,24.08%,103.94,2.53,4.60%,261.31,12.52%,27.22,9.65,4.78%,15.90%,141.92 - 270.95,51.65%,5.04,24.74,7.40%,7.50%,-3.06%,1.35,1.92%,1.30,6.60%,69.30%,85.07%,4.23,328000,1.40,-10.10%,5.40%,52.08,1.19% 1.62%,Yes,0.79,183.40%,4.40%,0.96,264.91,Yes,0.78,Jun 20 AMC,29.40%,2.06M,262.65,2.10,-0.95%,4.20%,22.82%,"1,972,528",-0.85%
AWK,Utilities,S&P 500,29.02,4.79,0.20%,195.00M,-0.88%,26.91B,27.06,7.04%,0.59%,193.88M,-5.43%,894.00M,3.50,1.63,89.00%,1.41% / 2.84,-1.95%,4.05B,6.65,-35.10%,0.87%,2.74M,-5.76%,49.75,2.79,3.20%,160.25,-12.57%,4.10,33.89,8.28%,10.30%,122.77 - 162.59,-8.83%,2.83,-,7.90%,5.50%,-14.53%,0.58,2.04%,1.10,2.50%,-,13.19%,2.46,6500,1.10,17.10%,35.70%,38.76,1.65% 1.67%,Yes,1.26,19.90%,22.10%,2.26,138.2,Yes,1.20,Jul 26 AMC,55.80%,962.88K,138.96,2.50,-3.33%,-3.77%,-5.66%,"2,173,546",0.55%
HSY,Consumer Defensive,S&P 500,26.45,8.27,0.40%,204.69M,-2.14%,44.78B,21.20,7.93%,-38.99%,149.58M,-10.93%,1.79B,2.97,2.46,79.10%,2.04% / 2.44,-18.01%,10.86B,4.12,44.60%,0.34%,3.05M,-6.99%,18.05,12.12,16.10%,263.79,-5.08%,2.18,100.35,8.90%,52.90%,211.49 - 276.88,-5.52%,4.77,27.06,17.80%,22.30%,-20.98%,0.3,2.18%,0.50,6.80%,43.90%,3.45%,3.62,18075,1.10,5.00%,20.30%,26.11,1.32% 1.55%,Yes,1.34,2.00%,16.50%,0.91,217.52,Yes,1.11,Jul 27 BMO,47.50%,1.25M,218.78,2.60,-5.06%,-9.82%,-9.92%,"1,138,872",0.58%
PPG,Basic Materials,S&P 500,25.03,5.58,0.30%,236.00M,2.12%,33.54B,16.63,12.20%,-18.86%,234.81M,-6.81%,1.32B,1.80,1.93,82.50%,0.60% / 0.88,-2.13%,17.91B,1.87,-27.00%,0.17%,1.40M,8.04%,32.26,4.33,6.10%,160.62,3.98%,5.39,25.88,13.93%,19.30%,107.40 - 152.89,10.97%,2.60,27.40,-5.80%,7.70%,-8.74%,1.18,1.86%,1.00,3.70%,39.10%,29.92%,2.89,52000,1.50,3.90%,9.90%,43.52,1.77% 2.15%,Yes,0.91,10.70%,7.40%,1.0,138.07,Yes,0.80,Jul 20 AMC,44.30%,1.59M,139.53,2.40,-1.98%,-3.16%,3.79%,"1,594,146",1.06%
TMUS,Communication Services,"NDX, S&P 500",25.76,5.29,0.30%,1.19B,-1.59%,159.46B,13.67,34.33%,-11.85%,520.80M,-2.83%,6.15B,0.38,1.98,42.60%,4.32% / 3.67,-1.48%,78.58B,2.03,-3.80%,-1.05%,22.49M,-7.22%,55.11,2.47,2.90%,177.03,-6.47%,5.68,23.99,68.35%,9.00%,124.92 - 154.38,-2.76%,-,41.44,-2.40%,4.00%,-11.81%,0.54,-,0.80,14.40%,61.50%,8.98%,2.15,71000,0.80,-2.60%,14.30%,43.83,1.36% 1.54%,Yes,1.28,-,7.80%,0.59,136.37,Yes,1.14,Jul 27 AMC,0.00%,6.13M,136.14,1.80,-1.59%,-0.37%,-4.63%,"3,631,833",-0.17%
FOX,Communication Services,S&P 500,14.62,2.14,44.07%,235.58M,-3.57%,16.35B,13.31,14.60%,-0.14%,131.76M,-1.39%,-,1.59,0.49,54.78%,2.11% / 2.36,9.02%,14.91B,1.1,-,-,2.78M,-7.94%,20.51,1.53,-,36.07,-6.40%,-,-,9.20%,-,26.35 - 34.42,9.98%,0.52,-,-,-,-9.09%,0.91,1.66%,-,-,-,18.75%,0.64,-,-,0.00%,-,47.2,2.14% 1.80%,Yes,-,22.50%,-,0.61,30.93,Yes,-,Aug 08 BMO,15.61%,1.18M,31.29,-,-0.69%,-0.75%,2.55%,"723,602",1.16%
BAX,Healthcare,S&P 500,-,-5.86,0.27%,506.00M,-3.35%,21.04B,13.53,20.11%,-0.56%,505.03M,-15.22%,-2952.00M,-,0.67,89.50%,1.54% / 1.61,-2.88%,14.88B,1.41,-291.00%,0.71%,7.80M,5.00%,11.01,3.80,-10.20%,50.43,-31.92%,3.42,12.22,4.63%,-50.00%,37.35 - 62.12,-18.01%,1.16,24.38,-33.50%,-9.60%,-32.73%,0.61,2.78%,0.90,7.40%,35.60%,11.90%,0.95,60000,1.40,3.10%,-16.90%,32.41,1.34% 2.33%,Yes,2.96,-207.60%,-19.20%,0.81,41.75,Yes,2.57,Jul 27 BMO,-,4.86M,41.79,2.60,-6.47%,-7.01%,-8.08%,"3,956,347",0.10%
MAS,Industrials,S&P 500,16.07,3.53,0.10%,225.00M,-3.12%,12.82B,14.33,10.21%,-63.76%,224.31M,-4.91%,802.00M,3.69,0.91,97.60%,2.23% / 2.81,5.95%,8.23B,1.56,124.40%,-0.31%,5.01M,1.76%,-0.85,-,15.00%,66.09,0.89%,1.68,33.72,4.36%,-192.30%,42.33 - 63.85,21.68%,1.14,15.50,23.30%,38.60%,-11.06%,1.24,2.01%,1.10,7.60%,32.50%,34.16%,1.23,19000,1.70,-9.60%,15.20%,38.69,2.10% 2.11%,Yes,-,-1.80%,9.70%,1.13,56.45,Yes,-,Jul 27 BMO,31.80%,1.78M,56.79,2.50,-4.94%,-2.14%,8.45%,"2,016,853",0.60%
HUM,Healthcare,S&P 500,18.30,26.80,0.10%,124.57M,-0.71%,60.90B,15.31,13.16%,-17.53%,123.70M,9.61%,3.38B,1.35,7.20,96.10%,2.47% / 2.04,-4.57%,98.73B,0.62,-2.60%,-0.33%,3.06M,-3.03%,135.13,3.63,6.60%,584.55,-1.08%,130.56,3.76,13.60%,20.80%,423.29 - 571.30,-4.26%,3.54,5.01,4.50%,12.20%,-14.16%,0.63,0.72%,-,11.60%,-,15.85%,8.61,67100,-,13.00%,4.70%,62.48,1.25% 1.65%,Yes,0.72,40.00%,3.40%,0.47,488.74,Yes,0.58,Aug 02 BMO,12.40%,1.50M,490.39,2.00,2.88%,5.82%,-1.91%,"706,630",0.34%
PFG,Financial,S&P 500,11.82,6.47,0.40%,242.70M,-1.92%,18.33B,10.22,15.62%,-0.38%,239.80M,-8.45%,1.62B,1.76,1.70,76.90%,1.80% / 3.68,9.46%,14.05B,1.31,200.70%,-2.10%,4.32M,-16.32%,42.62,1.79,0.60%,77.69,-2.86%,16.99,4.50,6.70%,16.30%,65.17 - 96.17,-8.88%,2.60,4.57,26.40%,8.30%,-20.48%,1.3,3.40%,-,-0.50%,-,17.35%,1.48,19300,-,-3.70%,13.60%,41.76,1.29% 1.73%,Yes,0.39,-87.00%,11.60%,0.52,76.62,Yes,0.39,Jul 27 AMC,38.90%,1.17M,76.47,3.40,-3.95%,-0.97%,-5.45%,"612,016",-0.20%
EMR,Industrials,S&P 500,22.41,4.27,0.20%,570.90M,0.05%,54.61B,19.52,10.29%,-4.10%,569.76M,4.24%,2.52B,2.24,1.30,76.10%,1.05% / 2.16,16.39%,17.49B,3.12,41.60%,-0.28%,5.99M,11.77%,19.90,4.81,12.90%,107.19,7.80%,3.59,26.69,10.00%,43.60%,72.40 - 99.65,-0.28%,2.08,23.31,16.20%,14.20%,-3.88%,1.37,2.17%,0.90,5.20%,44.80%,32.30%,1.52,85500,1.20,14.10%,18.40%,62.86,1.13% 1.50%,Yes,0.89,28.80%,26.70%,0.71,95.73,Yes,0.72,Aug 02 BMO,26.00%,2.77M,95.79,2.10,1.64%,5.36%,7.93%,"1,978,809",0.06%
TRMB,Technology,S&P 500,38.08,1.39,0.20%,248.10M,-5.05%,13.03B,17.80,12.27%,-3.03%,246.98M,0.78%,344.80M,3.81,0.61,95.70%,0.79% / 1.66,8.11%,3.65B,3.57,-7.20%,-0.83%,1.95M,-3.98%,17.46,3.02,4.30%,57.61,-25.25%,0.96,54.90,10.00%,8.40%,45.43 - 71.58,4.39%,-,25.71,64.60%,8.80%,-26.26%,1.53,-,0.80,6.80%,59.80%,16.18%,1.17,11825,1.10,5.60%,12.40%,42.92,1.89% 2.08%,Yes,0.74,-73.30%,9.40%,1.04,53.41,Yes,0.74,Aug 03 BMO,0.00%,1.17M,52.78,2.40,-2.78%,-0.36%,0.47%,"1,215,255",-1.18%
AVY,Consumer Cyclical,S&P 500,25.54,6.94,0.74%,80.70M,-4.22%,14.25B,17.86,22.44%,-2.50%,79.99M,0.06%,566.00M,3.27,2.10,92.80%,2.55% / 3.48,3.58%,8.50B,1.68,4.30%,-4.66%,2.04M,-2.69%,24.97,7.09,7.00%,198.50,-11.84%,2.70,65.65,7.82%,28.00%,157.28 - 201.00,-2.13%,3.24,31.72,12.80%,14.60%,-11.87%,0.97,1.83%,0.70,6.40%,26.10%,12.63%,3.53,36000,1.10,-10.90%,8.60%,42.26,1.50% 2.16%,Yes,1.76,-52.60%,6.70%,0.65,177.31,Yes,1.44,Jul 25 BMO,43.80%,586.73K,177.15,1.80,-2.90%,0.80%,-0.56%,"379,235",-0.09%
PSA,Real Estate,S&P 500,11.84,23.09,8.20%,175.48M,-4.70%,47.71B,23.16,5.17%,0.00%,158.02M,-5.39%,4.07B,0.70,2.91,81.10%,2.40% / 4.18,-3.99%,4.39B,10.87,138.10%,0.61%,3.79M,-8.72%,32.57,8.40,23.20%,341.44,-23.03%,3.74,73.20,17.00%,71.40%,270.13 - 357.12,-2.41%,12.00,27.08,28.40%,33.80%,-23.43%,0.47,4.39%,-,9.40%,74.80%,1.23%,6.17,5900,-,8.50%,-,38.31,1.89% 2.15%,Yes,1.21,-12.40%,92.70%,0.77,272.38,Yes,1.21,Aug 02 AMC,43.10%,906.88K,273.44,2.00,-3.82%,-5.03%,-6.23%,"695,036",0.39%
AVB,Real Estate,S&P 500,20.22,8.87,0.39%,141.78M,-4.26%,25.18B,33.77,-4.27%,-1.33%,141.46M,-8.88%,1.25B,-,1.14,93.80%,1.58% / 3.22,1.92%,2.70B,9.32,13.00%,-0.49%,2.24M,-0.45%,83.34,2.15,6.10%,204.11,-18.58%,5.48,32.72,-9.83%,11.00%,153.07 - 220.25,11.01%,6.60,4196.45,5.10%,2.70%,-18.59%,0.94,3.68%,-,3.70%,64.70%,17.14%,3.5,2947,-,-45.10%,22.50%,34.57,1.66% 1.89%,Yes,0.68,-9.60%,46.20%,0.53,179.01,Yes,0.68,Jul 31 AMC,72.20%,694.84K,179.31,2.50,-4.00%,-5.10%,2.16%,"365,759",0.17%
GM,Consumer Cyclical,S&P 500,4.63,7.16,0.20%,1.39B,-2.27%,45.93B,4.74,-9.45%,0.79%,1.37B,-15.64%,10.17B,0.97,1.93,82.80%,1.95% / 1.93,0.67%,169.73B,0.27,-8.50%,-3.22%,26.84M,-23.16%,51.74,0.64,3.80%,49.81,-13.75%,23.53,1.41,4.75%,14.80%,31.10 - 43.63,-1.55%,0.36,-,3.30%,4.30%,-24.09%,1.41,1.09%,1.00,1.50%,13.70%,6.48%,0.87,167000,1.20,25.10%,6.30%,28.1,1.89% 2.38%,Yes,1.65,60.80%,6.00%,0.77,32.92,Yes,1.14,Jul 25 BMO,5.00%,13.91M,33.12,2.30,-9.24%,-11.75%,-10.11%,"10,758,438",0.61%
J,Industrials,S&P 500,26.59,5.02,1.10%,126.89M,-2.13%,16.85B,15.90,14.45%,-3.34%,124.77M,8.51%,646.20M,2.76,1.88,88.30%,0.78% / 1.54,14.65%,15.34B,1.1,59.40%,-0.12%,0.98M,8.98%,50.28,2.66,4.40%,153.07,-0.83%,9.70,13.77,9.63%,10.50%,106.78 - 137.61,11.23%,1.04,53.50,28.80%,8.00%,-2.95%,0.81,0.78%,1.50,18.70%,21.80%,25.07%,2.23,60000,1.50,6.40%,6.40%,64.24,1.50% 1.69%,Yes,0.54,148.90%,4.20%,0.68,133.0,Yes,0.53,Aug 08 BMO,18.20%,636.92K,133.55,1.70,2.55%,8.16%,11.11%,"432,843",0.41%
EOG,Energy,S&P 500,8.80,14.85,0.30%,580.00M,-1.28%,75.33B,10.60,14.09%,-1.10%,579.47M,5.78%,8.71B,-,2.61,89.00%,1.46% / 2.55,16.61%,25.92B,2.91,65.50%,-0.44%,8.45M,5.35%,45.27,2.89,21.20%,143.15,18.79%,8.26,15.81,-1.00%,34.70%,98.52 - 147.74,1.79%,3.30,9.37,82.00%,26.20%,-11.58%,1.54,2.53%,2.00,17.80%,65.40%,32.59%,3.0,2850,2.40,-23.60%,42.70%,59.54,1.80% 2.18%,Yes,0.15,-30.10%,33.60%,0.62,129.73,Yes,0.14,Aug 03 AMC,21.60%,3.32M,130.63,1.90,0.76%,8.11%,7.08%,"2,045,394",0.69%
PPL,Utilities,S&P 500,25.95,0.97,0.05%,737.08M,-3.36%,18.59B,14.88,7.53%,-1.37%,736.64M,-7.63%,719.00M,1.51,0.46,72.80%,1.64% / 2.42,-7.05%,8.66B,2.15,12.10%,2.05%,12.10M,-11.07%,18.94,1.34,2.00%,30.82,-17.94%,0.44,57.03,17.21%,5.50%,23.47 - 31.74,-13.42%,0.96,-,-14.40%,4.20%,-20.29%,0.81,3.79%,0.90,1.20%,75.70%,7.82%,0.42,6527,1.10,7.50%,17.10%,31.39,1.32% 1.56%,Yes,1.06,-6.10%,8.80%,0.93,25.15,Yes,1.04,Aug 04 BMO,88.60%,4.99M,25.3,2.00,-5.30%,-5.18%,-9.16%,"4,634,644",0.60%
OKE,Energy,S&P 500,12.10,5.42,0.46%,448.30M,-0.97%,28.88B,13.45,-14.47%,1.49%,445.64M,-0.50%,2.43B,1.61,1.08,69.80%,2.70% / 4.13,12.37%,19.20B,1.5,14.60%,1.66%,12.02M,-5.19%,16.10,4.07,10.00%,71.73,4.19%,0.24,272.49,7.50%,35.80%,50.50 - 71.57,-0.15%,3.82,11.97,16.80%,11.30%,-8.35%,1.63,5.82%,0.90,13.00%,24.50%,29.90%,1.18,2966,1.20,-37.80%,19.20%,54.28,1.63% 1.63%,Yes,1.77,12.80%,12.70%,0.75,65.34,Yes,1.77,Aug 07 AMC,69.60%,2.91M,65.6,2.40,-0.64%,3.64%,2.05%,"2,181,186",0.40%
AON,Financial,S&P 500,25.22,12.85,0.10%,206.10M,1.02%,64.96B,20.19,13.18%,-28.59%,200.43M,-4.58%,2.67B,2.74,2.21,89.60%,0.90% / 2.17,-0.05%,12.87B,5.05,118.80%,-1.55%,1.81M,4.45%,-0.34,-,7.80%,339.75,7.88%,41.69,7.77,9.20%,-,266.35 - 347.37,7.97%,2.46,21.49,33.60%,31.20%,-6.71%,0.89,0.76%,1.10,4.50%,-,21.67%,5.9,50000,1.10,5.50%,28.90%,49.72,1.75% 1.93%,Yes,-,7.20%,20.10%,1.17,319.0,Yes,-,Jul 28 BMO,13.40%,834.65K,324.06,2.90,-0.07%,-1.41%,2.85%,"977,412",1.59%
FIS,Technology,S&P 500,-,-39.83,0.20%,592.00M,-1.60%,33.41B,8.61,6.75%,-0.10%,589.07M,-9.46%,-23573.00M,-,1.58,93.50%,1.75% / 2.04,-4.25%,14.57B,2.29,-9.30%,-2.08%,10.28M,-19.91%,34.23,1.62,-36.80%,74.20,-45.48%,3.29,16.85,2.02%,-78.60%,48.57 - 101.57,-18.36%,2.08,13.08,2.76%,-34.80%,-45.47%,0.84,3.76%,0.70,10.90%,40.30%,14.04%,1.35,69000,0.70,0.70%,-,36.57,1.63% 2.28%,Yes,0.96,-,-,0.69,56.06,Yes,0.67,Aug 02 BMO,-,5.04M,55.39,2.10,-5.78%,-3.37%,-10.01%,"3,487,307",-1.20%
WAT,Healthcare,S&P 500,23.85,11.32,0.10%,59.10M,-7.43%,15.83B,20.16,9.40%,-1.37%,58.91M,-3.49%,674.50M,3.55,2.58,91.40%,5.36% / 5.38,0.73%,2.99B,5.29,5.00%,-0.12%,3.16M,-17.51%,13.10,20.61,19.00%,300.85,-19.50%,5.64,47.87,6.71%,119.30%,248.18 - 353.70,-21.19%,-,40.91,10.60%,35.70%,-23.67%,0.86,-,1.40,5.20%,58.50%,8.79%,7.71,8200,2.10,3.70%,28.50%,39.06,1.93% 3.03%,Yes,3.41,-6.40%,22.50%,0.66,273.16,Yes,3.35,Aug 02 BMO,0.00%,586.22K,270.0,3.00,-5.73%,-1.13%,-11.18%,"385,716",-1.16%
IRM,Real Estate,S&P 500,45.61,1.30,0.10%,291.82M,-2.25%,17.40B,30.44,11.87%,-57.17%,289.49M,-4.65%,379.30M,8.00,0.44,80.20%,4.37% / 8.53,7.14%,5.24B,3.32,23.10%,1.14%,12.64M,11.19%,1.43,41.34,2.30%,61.50,7.82%,0.51,116.41,5.70%,71.30%,43.28 - 62.88,18.58%,2.60,-,24.20%,8.70%,-5.99%,0.95,4.40%,0.80,5.80%,68.60%,36.56%,1.1,27600,0.80,5.30%,18.80%,43.98,1.56% 1.79%,Yes,27.02,-99.90%,7.20%,0.52,58.56,Yes,26.78,Aug 03 BMO,180.80%,1.48M,59.11,2.30,-2.94%,0.44%,8.69%,"772,042",0.94%
CRL,Healthcare,S&P 500,21.11,9.42,0.10%,51.22M,-7.26%,10.33B,16.84,12.14%,-19.19%,50.59M,-2.50%,484.00M,3.08,2.36,101.75%,2.50% / 2.61,-0.18%,4.18B,2.47,24.70%,3.23%,1.26M,-21.77%,63.49,3.13,6.40%,248.77,-9.61%,3.88,51.29,6.86%,16.20%,181.22 - 262.00,-8.72%,-,35.70,17.90%,9.50%,-24.08%,1.33,-,1.20,16.40%,37.00%,9.76%,5.58,20000,1.50,8.90%,18.50%,39.75,2.44% 2.68%,Yes,0.82,-11.60%,11.60%,0.86,199.87,Yes,0.82,Aug 09 BMO,0.00%,485.27K,198.9,1.80,-4.79%,-4.18%,-7.27%,"417,535",-0.49%
IDXX,Healthcare,"NDX, S&P 500",51.32,9.43,0.30%,83.09M,-4.31%,40.31B,43.40,13.31%,-14.15%,82.25M,-10.89%,791.40M,3.26,2.38,91.80%,3.20% / 5.72,-1.69%,3.51B,11.47,-6.70%,-0.23%,2.63M,-4.48%,13.17,36.73,28.60%,575.67,29.34%,1.59,303.57,15.75%,104.80%,317.06 - 564.73,18.57%,-,68.01,19.60%,36.70%,-14.34%,1.21,-,0.90,11.30%,60.00%,52.57%,11.91,10780,1.30,9.70%,29.80%,33.28,1.78% 2.25%,Yes,0.95,71.70%,22.50%,0.73,486.42,Yes,0.64,Aug 01 BMO,0.00%,459.34K,483.73,2.40,-7.78%,-4.78%,2.59%,"334,753",-0.55%
ECL,Basic Materials,S&P 500,43.67,4.11,0.10%,284.90M,-2.72%,51.30B,29.92,17.25%,-19.69%,284.59M,-4.47%,1.17B,3.24,1.52,90.80%,0.76% / 2.01,2.52%,14.76B,3.47,-2.50%,1.12%,2.18M,10.72%,26.52,6.76,5.50%,198.10,2.52%,1.94,92.56,13.49%,16.10%,131.04 - 191.41,23.21%,2.12,38.67,-3.60%,8.70%,-6.30%,1.01,1.18%,0.80,0.50%,38.60%,36.87%,2.94,47000,1.20,7.60%,12.00%,38.24,1.15% 1.70%,Yes,1.14,7.10%,8.00%,1.07,180.99,Yes,0.99,Aug 01 BMO,50.40%,1.08M,179.35,2.60,-2.92%,-2.31%,9.51%,"1,152,902",-0.91%
NTAP,Technology,S&P 500,13.01,5.79,0.20%,214.00M,-1.89%,15.89B,12.07,9.43%,-10.57%,210.08M,-5.94%,1.27B,1.65,1.37,91.40%,3.35% / 3.04,13.18%,6.36B,2.5,41.50%,-1.89%,7.03M,10.83%,5.42,13.89,13.10%,76.05,2.64%,14.55,5.18,7.91%,123.70%,58.08 - 80.53,25.39%,2.00,18.31,10.40%,34.60%,-6.48%,1.19,2.66%,1.30,1.50%,66.20%,29.67%,1.34,12000,1.30,-5.90%,16.00%,40.53,1.54% 1.78%,Yes,2.06,-0.20%,20.00%,0.94,75.03,Yes,2.06,Aug 23 AMC,34.00%,2.31M,75.31,2.70,-3.03%,-1.18%,10.49%,"2,159,870",0.37%
GL,Financial,S&P 500,13.12,8.57,1.60%,96.39M,-1.77%,10.66B,9.92,8.12%,-9.95%,93.46M,-1.94%,837.20M,0.88,2.64,84.00%,0.76% / 1.51,3.26%,5.26B,2.03,3.50%,-0.08%,0.71M,-7.49%,39.90,2.82,3.10%,126.11,8.72%,1.82,61.92,14.89%,18.60%,96.23 - 123.85,-6.73%,0.90,7.64,8.90%,13.80%,-9.21%,0.77,0.80%,-,4.60%,-,16.85%,1.7,3543,-,1.40%,20.70%,48.8,1.36% 1.41%,Yes,0.56,-3.60%,15.40%,0.79,111.95,Yes,0.42,Jul 26 AMC,9.90%,466.26K,112.44,2.70,-0.95%,1.27%,-0.79%,"367,267",0.44%
CHRW,Industrials,S&P 500,21.86,4.35,0.30%,118.50M,-0.25%,11.20B,21.89,17.27%,-7.64%,115.28M,-3.62%,534.20M,-,0.86,99.53%,10.29% / 11.35,-6.40%,20.12B,0.56,17.30%,-0.27%,11.86M,-8.43%,11.71,8.11,9.00%,94.36,-18.19%,1.78,53.28,-0.95%,36.80%,86.60 - 121.23,3.75%,2.44,6.34,16.20%,30.30%,-21.64%,0.79,2.57%,1.10,10.70%,14.90%,9.69%,1.96,16523,1.10,-35.00%,3.70%,44.19,1.89% 1.86%,Yes,1.32,-69.60%,2.70%,0.81,93.33,Yes,0.66,Aug 02 AMC,54.00%,1.04M,94.99,3.20,-2.56%,-0.63%,-1.98%,"850,405",1.78%
SHW,Basic Materials,S&P 500,29.98,9.01,0.10%,256.00M,-1.30%,69.25B,25.07,10.28%,-1.06%,236.23M,1.43%,2.34B,2.73,2.75,79.20%,1.15% / 1.93,16.01%,22.96B,3.02,10.50%,-0.68%,2.73M,18.94%,14.18,19.05,10.30%,299.58,7.43%,0.82,330.71,10.97%,75.00%,195.24 - 283.80,13.83%,2.42,39.57,13.60%,15.10%,-4.81%,1.09,0.90%,0.60,8.10%,44.10%,38.37%,4.99,64366,1.00,6.30%,13.10%,49.9,1.75% 1.85%,Yes,2.86,38.90%,10.20%,1.02,268.03,Yes,2.50,Jul 25 BMO,26.40%,1.42M,270.15,2.40,-1.59%,2.71%,12.49%,"1,440,561",0.79%
WRK,Consumer Cyclical,S&P 500,-,-5.54,0.10%,256.30M,-5.11%,8.27B,12.33,-9.33%,-1.53%,254.55M,5.80%,-1414.30M,-,0.72,90.60%,1.73% / 1.67,16.38%,20.72B,0.4,15.30%,0.90%,4.40M,-2.96%,39.05,0.82,-4.90%,37.28,-23.67%,1.22,26.28,-,-13.30%,26.84 - 43.37,-8.67%,1.10,12.52,5.50%,5.50%,-25.96%,1.2,3.43%,1.00,7.40%,18.20%,19.63%,0.79,50500,1.50,-7.20%,-4.90%,48.48,1.57% 2.43%,Yes,0.90,-46.50%,-6.80%,0.67,32.46,Yes,0.86,Aug 03 BMO,27.85%,2.64M,32.11,2.30,-2.75%,4.65%,-0.19%,"1,777,256",-1.08%
SNPS,Technology,"NDX, S&P 500",71.89,5.93,0.20%,152.19M,-0.57%,65.27B,34.46,14.01%,-32.78%,151.22M,-5.69%,920.60M,4.22,2.94,92.70%,0.68% / 0.97,3.98%,5.29B,12.34,30.70%,0.55%,1.03M,18.43%,38.32,11.12,9.70%,465.99,11.82%,11.07,38.50,17.03%,16.30%,267.00 - 468.03,33.43%,-,57.60,48.10%,18.50%,-8.98%,1.12,-,1.10,13.30%,78.50%,59.56%,10.54,19000,1.10,9.00%,18.80%,39.9,2.96% 2.26%,Yes,0.00,-6.60%,17.40%,0.76,424.1,Yes,0.00,Aug 16 AMC,0.00%,1.06M,426.02,1.70,-3.52%,-3.20%,12.80%,"801,967",0.45%
